"id","type","performanceLocationRequirement","name","description"
"txcd_10202003","digital","none","Downloadable Software - business use","Prewritten (""canned"") software that the buyer downloads. The software is intended for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
"txcd_10203000","digital","none","Downloadable Software - custom - personal use","Custom software that the buyer downloads. The software is intended for personal use, rather than for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
"txcd_10203001","digital","none","Downloadable Software - custom - business use","Custom software that the buyer downloads. The software is intended for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
"txcd_10301000","digital","none","Audiobook","The recording of a book read aloud and sold with unlimited usage (for example, a downloaded audio copy of The High Growth Handbook)."
"txcd_10302000","digital","none","Digital Books - downloaded - non subscription - with permanent rights","Works that are generally recognized in the ordinary and usual sense as books and are transferred electronically. These goods are downloaded to a device with permanent access granted. These goods include novels, autobiographies, encyclopedias, dictionaries, repair manuals, phone directories, business directories, zip code directories, cookbooks, and so on."
"txcd_10302001","digital","none","Digital Books - downloaded - non subscription - with limited rights","Works that are generally recognized in the ordinary and usual sense as books and are transferred electronically. These goods are downloaded to a device with access that expires after a stated period of time. These goods include novels, autobiographies, encyclopedias, dictionaries, repair manuals, phone directories, business directories, zip code directories, cookbooks, and so on."
"txcd_10302002","digital","none","Digital Books - downloaded - subscription - with conditional rights","Works that are generally recognized in the ordinary and usual sense as books and are transferred electronically. These goods are downloaded to a device with access that is conditioned upon continued subscription payment. These goods include novels, autobiographies, encyclopedias, dictionaries, repair manuals, phone directories, business directories, zip code directories, cookbooks, and so on."
"txcd_10302003","digital","none","Digital Books - viewable only - subscription - with conditional rights","Works that are generally recognized in the ordinary and usual sense as books and are transferred electronically. These goods are viewable (but not downloadable) on a device with access that is conditioned upon continued subscription payment. These goods include novels, autobiographies, encyclopedias, dictionaries, repair manuals, phone directories, business directories, zip code directories, cookbooks, and so on."
"txcd_10303000","digital","none","Digital Magazines/Periodicals - downloadable - subscription - with conditional rights","A digital version of a traditional periodical published at regular intervals with the entire publication or individual articles downloaded to a device with access that is conditioned upon continued subscription payment."
"txcd_10303001","digital","none","Digital Magazines/Periodicals - subscription tangible and digital","A digital version of a traditional magazine published at regular intervals. The publication is accessed via a subscription which also entitles the purchaser to physical copies of the media."
"txcd_10303002","digital","none","Digital Magazines/Periodicals - viewable only - subscription - with conditional rights","A digital version of a traditional periodical published at regular intervals with the entire publication or individual articles viewable (but not downloadable) on a device with access that is conditioned upon continued subscription payment."
"txcd_10303100","digital","none","Digital Magazines/Periodicals - downloadable - non subscription - with permanent rights","A digital version of a traditional periodical published at regular intervals with the entire publication or individual articles downloaded to a device with permanent access granted. The publication is accessed without a subscription."
"txcd_10303101","digital","none","Digital Magazines/Periodicals - viewable only - non subscription - with limited rights","A digital version of a traditional periodical published at regular intervals with the entire publication or individual articles viewable (but not downloadable) on a device with access that expires after a stated period of time. The publication is accessed without a subscription."
"txcd_10303102","digital","none","Digital Magazines/Periodicals - viewable only - non subscription - with permanent rights","A digital version of a traditional periodical published at regular intervals with the entire publication or individual articles viewable (but not downloadable) on a device with permanent access granted. The publication is accessed without a subscription."
"txcd_10303104","digital","none","Digital Magazines/Periodicals - downloadable - non subscription - with limited rights","A digital version of a traditional periodical published at regular intervals with the entire publication or individual articles downloaded to a device with access that expires after a stated period of time. The publication is accessed without a subscription."
"txcd_10304000","digital","none","Digital Newspapers - downloadable - non subscription - with permanent rights","A digital version of a traditional newspaper published at regular intervals with the entire publication or individual articles downloaded to a device with permanent access granted. The publication is accessed without a subscription."
"txcd_10304001","digital","none","Digital Newspapers - viewable only - non subscription - with limited rights","A digital version of a traditional newspaper published at regular intervals with the entire publication or individual articles viewable (but not downloadable) on a device with access that expires after a stated period of time. The publication is accessed without a subscription."
"txcd_10304002","digital","none","Digital Newspapers - viewable only - non subscription - with permanent rights","A digital version of a traditional newspaper published at regular intervals with the entire publication or individual articles viewable (but not downloadable) on a device with permanent access granted. The publication is accessed without a subscription."
"txcd_10304003","digital","none","Digital Newspapers - downloadable - non subscription - with limited rights","A digital version of a traditional newspaper published at regular intervals with the entire publication or individual articles downloaded to a device with access that expires after a stated period of time. The publication is accessed without a subscription."
"txcd_10304100","digital","none","Digital Newspapers - downloadable - subscription - with conditional rights","A digital version of a traditional newspaper published at regular intervals with the entire publication or individual articles downloaded to a device with access that is conditioned upon continued subscription payment."
"txcd_10304101","digital","none","Digital Newspapers - subscription tangible and digital","A digital version of a traditional newspaper published at regular intervals. The publication is accessed via a subscription which also entitles the purchaser to physical copies of the media."
"txcd_10304102","digital","none","Digital Newspapers - viewable only - subscription - with conditional rights","A digital version of a traditional newspaper published at regular intervals with the entire publication or individual articles viewable (but not downloadable) on a device with access that is conditioned upon continued subscription payment."
"txcd_10305000","digital","none","Digital School Textbooks - downloaded - non subscription - with limited rights","Works that are required as part of a formal academic education program and are transferred electronically. These goods are downloaded to a device with access that expires after a stated period of time."
"txcd_10305001","digital","none","Digital School Textbooks - downloaded - non subscription - with permanent rights","Works that are required as part of a formal academic education program and are transferred electronically. These goods are downloaded to a device with permanent access granted."
"txcd_10401000","digital","none","Digital Audio Works - streamed - non subscription - with limited rights","Works that result from the fixation of a series of musical, spoken, or other sounds that are transferred electronically. These goods are streamed to a device with access that expires after a stated period of time. These goods include prerecorded or live music, prerecorded or live readings of books or other written materials, prerecorded or live speeches, ringtones, or other sound recordings, but not including audio greeting cards."
"txcd_10401001","digital","none","Digital Audio Works - downloaded - non subscription - with limited rights","Works that result from the fixation of a series of musical, spoken, or other sounds that are transferred electronically. These goods are downloaded to a device with access that expires after a stated period of time. These goods include prerecorded or live music, prerecorded or live readings of books or other written materials, prerecorded or live speeches, ringtones, or other sound recordings, but not including audio greeting cards. Note the presence of PTC 10301000 (Audiobook), a more granular option for downloaded audiobooks."
"txcd_10401100","digital","none","Digital Audio Works - downloaded - non subscription - with permanent rights","Works that result from the fixation of a series of musical, spoken, or other sounds that are transferred electronically. These goods are downloaded to a device with permanent access granted. These goods include prerecorded or live music, prerecorded or live readings of books or other written materials, prerecorded or live speeches, ringtones, or other sound recordings, but not including audio greeting cards. Note the presence of PTC 10301000 (Audiobook), a more granular option for downloaded audiobooks."
"txcd_10401200","digital","none","Digital Audio Works - streamed - subscription - with conditional rights","Works that result from the fixation of a series of musical, spoken, or other sounds that are transferred electronically. These goods are streamed to a device with access that is conditioned upon continued subscription payment. These goods include prerecorded or live music, prerecorded or live readings of books or other written materials, prerecorded or live speeches, ringtones, or other sound recordings, but not including audio greeting cards."
"txcd_10402000","digital","none","Digital Audio Visual Works - streamed - non subscription - with limited rights","A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any. These goods are streamed to a device with access that expires after a stated period of time. These goods include motion pictures, music videos, animations, and news and entertainment programs, but do not include video greeting cards or video or electronic games."
"txcd_10402100","digital","none","Digital Audio Visual Works - downloaded - non subscription - with permanent rights","A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any. These goods are downloaded to a device with permanent access granted. These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games."
"txcd_10402110","digital","none","Digital Audio Visual Works - downloaded - non subscription - with limited rights","A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any. These goods are downloaded to a device with access that expires after a stated period of time. These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games."
"txcd_10402200","digital","none","Digital Audio Visual Works - streamed - subscription - with conditional rights","A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any. These goods are streamed to a device with access that is conditioned upon continued subscription payment. These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games."
"txcd_10402300","digital","none","Digital Video Streaming - live events - limited use","An audio visual work of a live performance streamed over the internet that you can only access for a limited time during the performance. Use this category when no more specific option is available."
"txcd_10501000","digital","none","Digital Photographs/Images - downloaded - non subscription - with permanent rights","Digital images that are downloaded to a device with permanent access granted."
"txcd_10502000","digital","none","Gift Card","Gift card or gift certificate that you purchase and receive electronically and assumed to be multi-purpose."
"txcd_10503000","digital","none","Digital other news or documents - downloadable - non subscription - with permanent rights","Individual digital news articles, newsletters, and other stand-alone documents. These goods are downloaded to a device with permanent access granted. These publications are accessed without a subscription."
"txcd_10503001","digital","none","Digital other news or documents - downloadable - non subscription - with limited rights","Individual digital news articles, newsletters, and other stand-alone documents. These goods are downloaded to a device with access that expires after a stated period of time."
"txcd_10503002","digital","none","Digital other news or documents - downloadable - subscription - with conditional rights","Individual digital news articles, newsletters, and other stand-alone documents. These goods are downloaded to a device with access that is conditioned upon continued subscription payment."
"txcd_10503003","digital","none","Digital other news or documents - viewable only - non subscription - with limited rights","Individual digital news articles, newsletters, and other stand-alone documents. These goods are viewable (but not downloadable) on a device with access that expires after a stated period of time."
"txcd_10503004","digital","none","Digital other news or documents - viewable only - non subscription - with permanent rights","Individual digital news articles, newsletters, and other stand-alone documents. These goods are viewable (but not downloadable) on a device with permanent access granted."
"txcd_10503005","digital","none","Digital other news or documents - viewable only - subscription - with conditional rights","Individual digital news articles, newsletters, and other stand-alone documents. These goods are viewable (but not downloadable) on a device with access that is conditioned upon continued subscription payment."
"txcd_10504000","digital","none","Electronic software documentation or user manuals - Custom, electronic delivery","Electronic software documentation or user manuals - For custom software & delivered electronically."
"txcd_10504003","digital","none","Electronic software documentation or user manuals - Prewritten, electronic delivery","Electronic software documentation or user manuals - For prewritten software & delivered electronically."
"txcd_10505000","digital","none","Digital Finished Artwork - downloaded - non subscription - with limited rights","The final art used for actual reproduction by photomechanical or other processes or for display purposes, but does not include website or home page design, and that is transferred electronically. These goods are downloaded to a device with access that expires after a stated period of time. These goods include drawings, paintings, designs, photographs, lettering, paste-ups, mechanicals, assemblies, charts, graphs, illustrative materials, and so on."
"txcd_10505001","digital","none","Digital Finished Artwork - downloaded - non subscription - with permanent rights","The final art used for actual reproduction by photomechanical or other processes or for display purposes, but does not include website or home page design, and that is transferred electronically. These goods are downloaded to a device with permanent access granted. These goods include drawings, paintings, designs, photographs, lettering, paste-ups, mechanicals, assemblies, charts, graphs, illustrative materials, and so on."
"txcd_10505002","digital","none","Digital Finished Artwork - downloaded - subscription - with conditional rights","The final art used for actual reproduction by photomechanical or other processes or for display purposes, but does not include website or home page design, and that is transferred electronically. These goods are downloaded to a device with access that is conditioned upon continued subscription payment. These goods include drawings, paintings, designs, photographs, lettering, paste-ups, mechanicals, assemblies, charts, graphs, illustrative materials, and so on."
"txcd_10506000","digital","none","Digital Greeting Cards - Audio Only","An electronic greeting ""card"" typically sent via email that contains an audio only message."
"txcd_10506001","digital","none","Digital Greeting Cards - Audio Visual","An electronic greeting ""card"" typically sent via email that contains a series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any."
"txcd_10506002","digital","none","Digital Greeting Cards - Static text and/or images only","An electronic greeting ""card"" typically sent via email that contains only static images or text, rather than an audio visual or audio only experience."
"txcd_10701000","digital","none","Website Advertising","Online advertising services such as creating and uploading advertisements on the internet. This is a standalone service that doesn't involve the sale of tangible personal property."
"txcd_10701100","digital","none","Website Hosting","A service to enable a customer's website to be accessible on the internet."
"txcd_10701200","services","optional","Website Design","A service to design a website or webpage."
"txcd_10701300","digital","none","Website Data Processing","An online service that allows a customer to create, transform, process or access data electronically."
"txcd_10701400","digital","none","Website Information Services - Business Use","An online service furnishing information to customers, including online search and data comparison. This PTC involves the customer utilizing a SaaS program to access the information content. This offering is intended for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
"txcd_10701401","digital","none","Website Information Services - Personal Use","An online service furnishing information to customers, including online search and data comparison. This PTC involves the customer utilizing a SaaS program to access the information content. This offering is intended for personal use, rather than for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the U.S."
"txcd_10701410","digital","none","Electronically Delivered Information Services - Business Use","The furnishing of information of any kind by electronic means. This PTC does not involve the customer utilizing a SaaS program to access the information content. This offering is intended for use by a commercial enterprise. Note: The distinction between business use and personal use for this PTC is relevant only if you have sales in the US."
"txcd_10701411","digital","none","Electronically Delivered Information Services - Personal Use","The furnishing of information of any kind by electronic means. This PTC does not involve the customer utilizing a SaaS program to access the information content. This offering is intended for personal use, rather than for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
"txcd_10702000","digital","none","Online Dating Services","A subscription service for membership to an online dating platform."
"txcd_10804001","digital","none","Digital Audio Visual Works - bundle - downloaded with permanent rights and streamed - subscription - with conditional rights","A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any. These goods are streamed and/or downloaded to a device with access that is conditioned upon continued subscription payment. Any downloads received while under subscription remain the permanent property of the subscriber. These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games. These goods further include self-study web based training services that impart content via audio visual goods described here."
"txcd_10804002","digital","none","Digital Audio Visual Works - bundle - downloaded with limited rights and streamed - non subscription","A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any. These goods can be streamed and/or downloaded to a device with access that expires after a stated period of time. These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games."
"txcd_10804003","digital","none","Digital Audio Visual Works - bundle - downloaded with permanent rights and streamed - non subscription","A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any. These goods can be streamed and/or downloaded to a device with permanent access granted. These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games."
"txcd_10804010","digital","none","Digital Audio Works - bundle - downloaded with permanent rights and streamed - subscription - with conditional rights","Works that result from the fixation of a series of musical, spoken, or other sounds that are transferred electronically. These goods are streamed and/or downloaded to a device with access that is conditioned upon continued subscription payment. Any downloads received while under subscription remain the permanent property of the subscriber. These goods include prerecorded or live music, prerecorded or live readings of books or other written materials, prerecorded or live speeches, ringtones, or other sound recordings, but not including audio greeting cards. These goods further include self-study web based training services that impart content via audio goods described here. Note the presence of PTC 10301000 (Audiobook), a more granular option for downloaded audiobooks."
"txcd_15010001","physical","required","Electric Vehicle Charging","Electric Vehicle (EV) charging involves the supply of electricity at public charging stations for recharging battery-powered vehicles, along with ancillary infrastructure access. The place of taxation is determined by the physical location of the charging station."
"txcd_15011001","physical","required","Electric Vehicle Charging Idling Fees","Also known as overstay fees or occupancy fees, these fees are penalties billed to a driver who leaves their vehicle plugged into a charging station after the battery is already full."
"txcd_20010001","services","optional","Car Washing","A charge to clean, wash or wax a motor vehicle, other than a self-service coin (or credit card) operated washing station. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential."
"txcd_20010003","services","optional","Cleaning of Tangible Personal Property","A charge for the cleaning of tangible personal property, other than motor vehicles or clothing."
"txcd_20010004","services","optional","Commercial Cleaning Services","A charge for janitorial services to commercial buildings, including the cleaning of floors, carpets, walls, windows, fixtures, exterior cleaning, and so on."
"txcd_20010006","services","optional","Residential Cleaning Services","A charge for custodial services to residential structures, including the cleaning of floors, carpets, walls, windows, appliances, furniture, fixtures, exterior cleaning, and so on. No Tangible Personal Property is transferred."
"txcd_20010007","services","optional","Gutter Cleaning Services","A charge for the service to maintain the proper operation of home or building gutters through cleaning out debris that could otherwise affect the proper water flow through the gutter system."
"txcd_20020009","services","optional","Installation of Hardware - Nonpermanent","A labor charge to install hardware where the installed property isn't considered permanently attached to the real property."
"txcd_20020010","services","optional","Installation of Hardware - Permanent","A labor charge to install hardware where the installed property is permanently attached to the real property."
"txcd_20020018","services","optional","Installation of Tangible Personal Property","A charge separately stated from any sale of the product itself for the installation of tangible personal property. This is a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential."
"txcd_20030002","services","optional","Pet Boarding","Services provided by a facility for overnight care of an animal not related to veterinary care."
"txcd_20030003","services","optional","Pet Grooming","Grooming services for an animal such as haircuts, bathing, nail trimming, and flea dips."
"txcd_20030004","services","optional","Parking Services (Hourly or Daily basis)","A fee charged for the use of a parking space at a commercial (non residential) facility, when paid on hourly or daily basis."
"txcd_20030005","services","optional","Pet Services - Obedience Training","Service to train an animal to obey certain commands."
"txcd_20031004","services","required","Parking Services (Weekly basis)","A fee charged for the use of a parking space at a commercial (non-residential) facility, when paid for on a weekly basis. This excludes facilities which provide parking exclusively for permanent tenants and their guests."
"txcd_20031104","services","required","Parking Services (Monthly basis)","A fee charged for the use of a parking space at a commercial (non-residential) facility, when paid for on a monthly basis. This excludes facilities which provide parking exclusively for permanent tenants and their guests."
"txcd_20031105","services","required","Parking Services - Special Resident Exemptions","This category is used to exempt specific parking excise taxes in the following locations according to their respective rules: New York City (Manhattan); Baltimore; Miami; Chicago, Rosemont, Evanston, Cook County and Illinois State; Cleveland and Sandusky Ohio; Jersey City, Elizabeth, and Newark New Jersey. Other than New York City, the exemption is generally triggered if the parking is provided in the lease or in a separate agreement between the landlord and tenant. In New York City, the exemption relies on a Manhattan resident renting a space in Manhattan on a monthly basis or longer."
"txcd_20040001","services","optional","Hairdressing Services","Services provided by beauty shops and barber shops, including but not limited to haircutting, hair coloring, shampooing, blow drying, permanents, hair extensions, hair straightening, and hair restorations."
"txcd_20040002","services","optional","Personal Care Services","A charge for personal care services. Please select a more granular product tax category where appropriate."
"txcd_20040003","services","optional","Body Piercing","A charge for the puncturing or penetration of the skin of a person and the insertion of jewelry or other adornment into the opening."
"txcd_20040004","services","optional","Childcare Services / Adultcare","Services that provide non-medical care and supervision for infant to school-age children or senior citizens."
"txcd_20040005","services","optional","Dating Services","A service that arranges introductions, for a fee, for strangers seeking romantic partners or friends. This excludes online dating services."
"txcd_20040006","services","optional","Employment Services","Services provided by employment agencies to match employees to employers and employers to employees."
"txcd_20040007","services","optional","Manicure Services","A charge for the cosmetic beauty treatment for the fingernails and toenails, including filing, cutting, shaping and the application of polish."
"txcd_20040008","services","optional","Massage Services","Services where the use of structured touch, include holding, applying pressure, positioning, and mobilizing soft tissue of the body by manual technique. Note: This does not include medical massage prescribed by a physician."
"txcd_20040009","services","optional","Spa Services","Personal services typically with the purpose of improving health, beauty and relaxation through treatments such as hair, massages and facials."
"txcd_20040010","services","optional","Tanning Services","Services for artificial tanning and skin beautification."
"txcd_20040011","services","optional","Tattooing Services","A charge for the process that uses needles and colored ink to permanently put a mark or design on a person's skin. Also applying permanent make-up, such as eyelining and other permanent colors to enhance the skin of the face, lips, eyelids, and eyebrows."
"txcd_20060000","services","optional","Professional Services","A charge for a service performed by providers considered professionals due to the extensive initial and continuing education and/or training requirements, and the likelihood of state or federal licensing requirements. Choose this product tax code for any professional service offering in which a more detailed code is not available."
"txcd_20060001","services","optional","Accounting Services","The measurement, processing and communication of financial information about economic entities including, but is not limited to, financial accounting, management accounting, auditing, cost containment and auditing services, taxation and accounting information systems; excluding general bookkeeping service."
"txcd_20060002","services","optional","Advertising Services","Services rendered for advertising which do not include the exchange of tangible personal property."
"txcd_20060008","services","optional","Credit Reporting Services","Services rendered for the compiling and relating of information regarding the history of financial transactions of a person or entity."
"txcd_20060009","services","optional","Data Processing","A service that allows data to be created, transformed, where the service is not performed online. Select ""Website data processing"" if the service is performed online and data is accessed by the customer electronically."
"txcd_20060010","services","optional","Debt Collection Services","Services performed to collect or adjust past-due debt from borrowers."
"txcd_20060013","services","optional","Engineering Services","Services provided by a professional trained to apply physical laws and principles of engineering in the design, development, and utilization of machines, materials, instruments, structures, processes, and systems. The services involve any of the following activities: provision of advice, preparation of feasibility studies, preparation of preliminary and final plans and designs, provision of technical services during the construction or installation phase, inspection and evaluation of engineering projects, and related services."
"txcd_20060017","services","optional","Technical Support Services","Charges for installing, configuring, debugging, modifying, testing, or troubleshooting computer hardware, networks, programs or software. Labor only charge."
"txcd_20060021","services","optional","Insurance Services","Charges associated loss or damage appraisals, inspections, actuarial services, claims adjustment or processing. Investigations as excluded from this definition."
"txcd_20060022","services","optional","Interior Decorating","Planning and design of interior spaces, including preparation of layout drawings, furniture arranging, design planning and purchasing of furniture, fixtures, and cabinetry, staging, lighting and sound design."
"txcd_20060026","services","optional","Lobbying Services","Services relating to advocating for the passage or defeat of legislation to members or staff of the government."
"txcd_20060027","services","optional","Medical Professional Services","Services provided by a licensed or registered professional in the medical field. Examples: Doctor, dentist, nurse, optometrist, and so on."
"txcd_20060029","services","optional","Payroll Services","Services to process employee payroll, including wages, withholding taxes, benefits, and so on."
"txcd_20060030","services","optional","Private Investigator Services","Services providing a systematic inquiry, examination, or analysis of people, events or documents through surveillance, background checks, computer searches, fingerprinting, lie detector services, interviews, and so on."
"txcd_20060035","services","optional","Secretarial/Editing Services","Services which include, but are not limited to, editing, letter writing, proofreading, resume writing, typing or word processing. Doesn't include court reporting and stenographic services."
"txcd_20060040","digital","none","Electronic Filing Service","Charges to electronically file a tax return on behalf of the taxpayer. This does not include manual preparation of tax returns."
"txcd_20060042","services","optional","Temporary Help Services","Services relating to providing personnel, on a temporary basis, to perform work or labor under the supervision or control of another."
"txcd_20060044","services","optional","Training","A charge for in-person training sessions which provide instruction to the buyer. This includes education sessions or workshops but excludes physical exercise or workouts."
"txcd_20060045","services","optional","Training Services - Live Virtual","Live web based training. This includes education sessions or workshops provided remotely, but does not include video replays of the instruction or course. This service allows for a level of participation that is substantially similar to an in-person training on the same subject matter."
