Consumables and Shop Supplies ,,,,,,,,,
Product Description,Manufacturer,Part Number,SKU,Waste Factor %,Units,Unit Cost,Sale Price,Labor Units,Labor Rate
KITCHEN & BATH ADVANCED SILICONE CLEAR ,GE,2812562,CON-SIL-CLE-KB-GE,15.0%,EACH,$10.97,$14.26,1.25,$46.62
WINDOW & DOOR SUPREME SILICONE WHITE,GE,2733730,CON-SIL-WHI-WD-GE,15.0%,EACH,$12.67,$16.47,1.25,$46.62
WINDOW & DOOR SUPREME SILICONE CLEAR,GE,2814816,CON-SIL-CLE-WD-GE,15.0%,EACH,$12.67,$16.47,1.25,$46.62
PROPANE TANK EXCHANGE STANDARD 20LBS TANK (SERVICE FEE),SMOKY PEAK CS,20LB-LP,SVC-PRO-EXC-SCS,0.0%,EACH,$19.23,$25.00,0.1,$46.62
LIQUID PROPANE (PRODUCT PASS-THRU) ,ACE HARDWARE,LP-XLBS,CON-PRO-FIL-RET,0.0%,EACH,MRKT RATE,MRKT RATE,0.05,$46.62
PROPANE REFILL OVERSIZE TANKS 21LBS-100LBS (SERVICE FEE),SMOKY PEAK CS,XL-LP,SVC-PRO-REF-LRG,0.0%,EACH,$30.77,$40.00,0.15,$46.62
PROPANE TANK DISPOSAL FEE (SERVICE FEE),SMOKY PEAK CS,PRO-DIS,SVC-PRO-DIS-EXP,0.0%,EACH,$19.23,$25.00,0.05,$46.62
,,,,,,,,,
Notes Block,,,,,,,,,
Column J Labor Rate is dynamically linked to the Field Technician Standard Billing Rate on the Hourly Labor Rates tab. Any change to the Field Technician base rate or burden and billing multipliers on the labor rate sheet will automatically recalculate the labor rate applied to all consumable and shop supply line items. Do not manually edit column J values as they will be overwritten by the linked formula.,,,,,,,,,
